probeset,hgnc
303,KANSL3
304,PSMD3
305,ITIH6
306,USP48
307,TIMM21
308,DAPK2
310,TH
313,CHD8
314,AKR1C4
315,CYP4F12
316,CHST14
317,FAM127C///FAM127B///FAM127A
318,HPS6
319,CNTN2
320,C9orf116
321,AFF2
322,C12orf23
323,HIGD2A///HIGD2B
324,STAC2
325,DTNB
326,POM121C///POM121///POM121B
327,OGFRL1
328,PRKRIP1
329,HSCB
330,KANSL1
331,ITGB6
332,RAI1
333,FGF9
334,LEPREL1
336,C6
337,GLI4
339,EXOC3L1
340,SHISA9///OPHN1///UGT8///LPP///ABCC9///PARP15///CYSLTR1///NNT///TMEM212///SYNE2///WDPCP///C12orf50///C4orf36///APLP2///GNRHR2///ODF2L///GSG1///TMEM45A///C12orf55///HERC2P8///HERC2P5///ARHGEF26-AS1///ABCA9///XKR9///HLA-DQA1///FGF5///SLC9A4///TCTN1///UGGT2///CT45A6///EYS///SECISBP2L///SPC25///ABCA3///CT45A5///CT45A2///CT45A1///CT45A4///CT45A3///GPR75-ASB3///MIPOL1///FAM115C///ATP10B///PLEKHB2///CLEC4E///CCDC144A///CTSC///COL8A1///EIF4E///REV3L
342,KCNH6
343,TLN2
344,VCX3A///VCX2///VCX3B
346,ZNF596///ERO1LB///PDAP1///MCCC1///NARG2///WIPF3///MAT2B///CRLF3///RUNDC1///AKAP13///PTGES3L-AARSD1///PHACTR4///TRIP11///ITIH5///COX7B///GATAD2A///RABGEF1///KCTD7///GPR157///CLDN15///CERCAM///METTL7A///FAM49B///SOGA1///MAN2C1///TMPRSS4///MED11///SCNM1///MAGI2-AS3///FBXL18///ATG2A///STMN1///TMOD2///TOR1AIP2///SLAMF7///LYRM2///ATP6AP1///ZNF490///PDE6A///PRND///LIMA1///FBLIM1///CTBP1-AS1///SH3GLB1///PRAM1///GOLGA4///PSMD9///TMED4///CORO2A///PITPNM1///LPP///DDR1-AS1///RPS10P7///ALG9///CMBL///ZNF517///GRAMD2///UBR5///PTPLAD2///KLHL6///VTI1A///POLE///N4BP2///SPRED1///PSMD13///BIN3///SEC23A///SMIM14///ATPBD4///MAP1LC3C///ZNF215///FAM63B///ATP6V0A2///CAPN2///PREX2///STAG2///TRNAU1AP///HAP1///GLB1L///VEZT///CASC4///TRIM72///BEST1///STAC2///GPR82///DNAAF1///BMP7///C4orf26///CENPL///MFSD11///KIAA1704///MLL2///ZNF101///PER2///SSR1///VPS29///TRAPPC9///BBS2///ZNF709///LRWD1///CNDP2///CCL22///NOS1///IVD///MPPE1///CHMP1B///GNAL///HIF3A///PRICKLE2-AS3///CEACAM22P///SCAND2P///SLC9A7P1///ABCC1///LUZP2///KIAA1467///IBTK///SLC39A4///PDS5A///EI24///MSI2///EFHB///EMP2///PHACTR2///FLVCR1///HINFP///FXN///TNS4///PLAT///SH3BP2///MTO1///KLHL36///P2RX4///DENND2C///STARD10///QTRTD1///SPATS2///NACA///CDH7///EVL///MRPL40///KIAA1958///NPHS1///YIPF4///SLC30A6///RASGRP3///KDM2A///CEP78///CHFR///TMEM68///SLFN13///BRI3BP///EMC4///MATN2///ZSWIM8///PDE12///PYGL///DPY19L4///HGSNAT///GLG1///STAT5B///PHF12///OR7D2///KIAA1191///WDR66
347,ANKZF1
348,DIP2A
349,C15orf26
350,HECTD1
351,LYRM4
352,ATHL1
353,ATRAID///SLC5A6
354,CKAP4
355,ENAM
356,KRT14
357,SORBS1
358,HELLS
359,STAM2
360,CBX1
361,FNDC3A
362,NDUFB2-AS1///NDUFB2
363,WDR62
364,MAT2B
365,OR52H1
367,KLHDC7A
368,GNL1
369,DLEU1
371,PTEN///PTENP1
372,MYL5
373,AURKB
375,ADORA1
376,ITGB2
377,ADK
379,IRAK1BP1
380,CCDC73///EIF3M
381,ERBB2
383,RIN2
384,APOL3
387,AQP7P3///AQP7P1///AQP7P4///AQP7///AQP7P2
388,DHX40
389,TRMT2B
390,ARF1
391,CACNG5
392,USP2
393,HMGN2P47///HMGN2P8///HMGN2P40///HMGN2P10///HMGN2P24///HMGN2P7///HMGN2P5///HMGN2P3///HMGN2P27///HMGN2P4///HMGN2P17///HMGN2P6///HMGN2P41///HMGN2P25///HMGN2P36///HMGN2///HMGN2P31
394,HLA-DQA1
396,KIAA0430
399,ARHGAP19
402,C10orf10
403,TMEM169
404,RDH13
405,PSD3
407,DAAM2
408,LONP1
409,TRIM26
410,WDR36
411,PRMT7
412,WNK4
413,PILRA
414,TECTB
416,PRUNE2
417,CDC25B
418,GPATCH2L
419,ATP2B1
420,RUFY3
422,MRPL50
423,RBMS1
424,DEFB103A///DEFB103B
425,ZNF169
428,TNXB
429,LEF1-AS1
430,CRYL1
431,FCRL1
432,KLK8
433,LY96
434,DLG5
435,KAAG1
436,BRD4
437,LRRC16A
438,POM121///POM121B///POM121C
439,TNNT2
440,BCL2L12
441,RIMS1
442,CAAP1
443,SLC27A6
444,GALNTL5
445,TCFL5
446,CD209
447,CHAT
448,IL20RA
449,OPHN1///ABCC9///SHISA9///UGT8///WDPCP///PARP15///NNT///C4orf36///C12orf50///ARHGEF26-AS1///UGGT2///TMEM212
452,FAM157B///FAM157C///YAF2///PCYT1A///PLA2G4B///SUMF1///NUP43///NEU1///MAEA///FAM45A///PDE6A///FGFR1OP///SLC12A9///ZNF829///PCSK7///FBXL13///NDE1///MICAL2///C3orf62///SENP2///OTUB1///ZNF34///ANKLE2///MRPL49///CHEK1///RFFL///PSMA6///PCNXL2///KBTBD12///CDT1///UTP6///TMEM39B///ITPKB///PHC3///EYA3///GLB1L///BEST1///PCDH11X///PGM2L1///ENTPD5///CXorf36///PNPT1///NUDT15///JAKMIP2///KIR3DX1///MRI1///ELP4///FUT2///TMF1///FAM227A///EXOSC7///CLK4///CINP///PDZD2///POU5F1B///KANSL3///NEIL1///MIOX///IRGQ///FAM101B///LAMB4///EIF2AK2///IL1RAP///C1orf86///ALDH3B1///NT5DC3///ACE///RAB3B///MRPS16///HLA-DQB2///NUDC///RPS29///DZIP1///PAWR///KIF6///SHC1///EXOSC10///CAMKK1///LPP///RBM22P2///TSPAN10///KIAA0355///ABHD11///POLA2///GBP6///GTPBP4///KCTD6///YWHAZ///KLB///FAM73A///SLC15A4///COX11///RAB11FIP4///CCR4///RAMP2-AS1///GTF3C4///HAP1///YTHDC2///EHMT2///CYCS///C17orf103///TMEM213///ENTPD1///KDM2B///LIX1L///ATCAY///DENND2C///PRR3///CREB1///ECE1///KCND3///ALS2CR8///COX18///PGPEP1///ADCY6///MRPS22///ADAMTS1///ATP2A2///DCAF10///EXD1///C12orf76///ZBTB43///SLC19A3///NFAM1///ACTR3B///CSNK1A1///RABL5///L3MBTL2///TMED4///SYT13///PCGF5///UFD1L
453,CASK
454,KRTAP4-1
455,SCAND1
456,CDC40
457,OR4F2P///OR4F7P///OR4F21///OR4F16///OR4F29///OR4F3///OR4F14P
458,CFL2
460,AGPAT2
461,SNHG14
462,ELF3
463,NPM2
464,BIN3///KIAA1967
465,CCDC33
466,ATP13A3
467,MRPL37
468,KIRREL2
469,WNT8B
470,SFRP5
471,THBS4
472,MRPL32///MRPL32P1
473,RAE1
474,TFAP4
475,ZXDC
476,WAS
480,PCNPP5///PCNP///PCNPP3///PCNPP1
483,OR2M2///OR2M3///OR2M7///OR2M5///OR2M1P
484,CMAHP
485,FAM187B
487,CWC22
488,SIGLEC12
489,FAM69A
491,IL17RD
492,SMG1P1///SMG1
