probeset,hgnc
7893660,PRPF8
7893662,HNRNPKP2///HNRNPK
7893664,ABCF1
7893668,KAT7
7893670,SFMBT2
7893676,SNRNP200
7893678,IK
7893679,SART1
7893681,PRPF8
7893682,KAT7
7893684,ILF2
7893685,EIF4G2
7893689,RHOA
7893690,USP22
7893697,SNORA53
7893699,C22orf28
7893700,C22orf28
7893706,ARF3
7893708,TARDBP
7893709,KHDRBS1
7893711,ABCF1
7893714,SART1
7893715,CBX3
7893717,ANAPC5
7893721,PARK7
7893722,CBX3
7893726,FNTA
7893727,RPS11
7893728,SEPT2
7893729,CTDNEP1
7893732,GDI2P2///GDI2P1///GDI2
7893733,TMED2
7893734,RPL19///FAM153C
7893738,KXD1
7893740,CAPNS1
7893745,SEPT2
7893747,SART1
7893748,RNPS1
7893752,USP22
7893759,EIF4G2
7893761,ANAPC5
7893762,HSP90AB2P///HSP90AB1
7893763,ILF2
7893764,CAPNS1
7893766,SNORD18C///RPL4
7893769,HSP90AB1
7893773,RPL34P27///RPL34
7893774,STARD7
7893776,SART3
7893777,SNX3
7893778,JTB
7893779,TARDBP
7893780,NONO
7893782,ERH
7893785,ATP6V1G2-DDX39B///DDX39B
7893788,IK
7893790,HNRNPA1
7893791,NPM1
7893792,RPL24P4///RPL24///RPL24P2
7893793,SART3
7893795,C1D
7893796,ABCF1
7893798,JTB
7893806,FNTA
7893808,OAZ1
7893814,SEPT2
7893815,RHOA
7893816,C22orf28
7893818,SART1
7893821,ANAPC5
7893823,RPL4
7893827,HINT1
7893828,CAPNS1
7893830,MIR3655
7893834,KAT7
7893836,CERCAM
7893840,SART3
7893841,DDX5
7893842,RPL6
7893843,ARF3
7893848,EIF3D
7893850,SNORD14B///RPS13
7893853,PSMB2
7893855,GUK1
7893856,ANAPC5
7893857,CCDC77///WDR77
7893862,ANAPC5
7893869,HNRNPC
7893870,KXD1
7893877,SART3
7893879,KAT7
7893880,CANX
7893882,RNPS1
7893883,NARS
7893886,KAT7
7893888,JTB
7893892,ZNF259
7893899,EIF3D
7893904,SNORD18A///SNORD16///RPL4
7893905,SART1
7893908,ANAPC5
7893910,PRPF8
7893911,HNRNPK
7893913,C1DP3///C1DP2///C1DP4///C1DP1///C1D
7893918,C1DP2///C1DP4///C1D
7893919,MIR4426///RPS27AP1///RPS27A///RPS27AP3
7893921,SART3
7893922,SEPT2
7893923,RPL24
7893926,YY1
7893928,RNPS1P1///RNPS1
7893931,CANX
7893933,KARS
7893937,CTSC
7893941,YY1
7893944,TARDBP
7893946,ZNF259
7893947,FNTA
7893948,ANAPC5
7893951,SART3
7893952,PARK7
7893956,SNORD35B///RPS11
7893958,SNORD58B///SNORD58A///RPL17
7893961,EIF4G2
7893963,HINT1
7893964,CANX
7893966,HNRNPM
7893968,SEPT2
7893969,CANX
7893973,EIF3D
7893979,EIF3FP3///EIF3F
7893980,IK
7893981,YY1
7893984,ZNF259
7893990,RNPS1
7893991,RNPS1P1///RNPS1
7893995,CAPNS1
7894002,RPL34
7894004,USP22
7894008,ILF2
7894010,IK
7894011,ARF1
7894012,HSP90AB3P///HSP90AB1
7894015,EIF3D
7894018,KXD1
