probeset,hgnc
D55696_at,LGMN
D55716_at,MIR25///MIR93///MCM7
D56495_at,REG1P
D59253_at,NCBP2
D61380_at,PARK7
D61391_at,PRPSAP1
D63135_at,TTYH2
D63160_at,FCN2
D63390_at,PAFAH1B2
D63391_at,PAFAH1B3
D63412_at,AQP4
D63475_at,AP2M1
D63476_at,ARHGEF7
D63477_at,EFR3A
D63478_at,UBAP2L
D63479_s_at,DGKD
D63480_at,KIAA0146
D63481_at,SCRIB
D63482_at,GIT2
D63483_at,SCARF1
D63484_at,ZC3H3
D63485_at,IKBKE
D63486_at,MLEC
D63487_at,TTLL12
D63506_at,STXBP3
D63813_at,CLUL1
D63851_at,STXBP1
D63861_s_at,PPID
D63874_at,HMGB1P5///HMGB1P10///HMGB1
D63875_at,CTR9
D63876_at,GGA3
D63877_at,FAM175B
D63878_at,SEPT2
D63879_at,SART3
D63880_at,NCAPD2
D63881_at,SUZ12
D63882_s_at,DMC1
D63940_s_at,MXI1
D63998_at,MAN2A1
D64015_at,TIAL1
D64053_at,PTPRR
D64108_at,DMC1
D64109_at,TOB2
D64110_at,BTG3
D64142_at,H1FX
D64154_at,ADRM1
D64158_at,TXNDC9
D64159_at,CCDC88A
D67029_at,SEC14L1
D76435_at,ZIC1
D76444_at,RNF103
D78011_at,DPYS
D78012_at,CRMP1
D78014_at,DPYSL3
D78129_at,SQLE
D78132_s_at,RHEBP1///RHEBP2///RHEB
D78134_at,CIRBP
D78151_at,PSMD2
D78156_at,RASA2
D78261_at,IRF4
D78275_at,PSMC6
D78333_at,CCT6B
D78334_at,ANKRD7
D78335_at,UCK2
D78361_at,OAZ1
D78367_at,KRT12
D78514_at,UBE2G1
D78577_s_at,YWHAH
D78586_at,CAD
D78611_at,MEST
D79205_at,SNORA69///RPL39P3///RPL39
D79206_s_at,SDC4
D79983_at,RNF144A
D79984_s_at,SUPT6H
D79985_at,DGCR2
D79986_at,BCLAF1
D79987_at,ESPL1
D79988_at,KNTC1
D79989_at,AGAP2
D79990_at,RASSF2
D79991_at,NUP188
D79992_at,MDC1
D79993_at,CLINT1
D79994_at,KANK1
D79995_at,TTLL4
D79996_at,IST1
D79997_at,MELK
D79998_at,KCTD2
D79999_at,PARP4P2///PARP4
D80000_at,SMC1A
D80001_at,RRP1B
D80002_at,MIR1825///POFUT1
D80003_at,NCOA6
D80004_at,GSE1
D80005_at,FAM120A
D80007_at,PDCD11
D80008_at,GINS1
D80009_at,BMS1
D80010_at,LPIN1
D80011_at,STARD8
D80012_at,USP10
D82060_at,SLC39A7
D82061_at,HSD17B8
D82070_at,C4orf6
D82343_at,OLFM1
D82344_at,PHOX2B
D82345_at,TMSB15A
D82346_at,KCNQ2
D82347_at,NEUROD1
D82348_at,ATIC
D83004_at,UBE2N
D83017_s_at,NELL1
D83018_at,NELL2
D83032_at,ZNF638
D83174_s_at,SERPINH1
D83195_at,DNASE1
D83243_at,NPAT
D83260_s_at,FAM50A
D83407_at,RCAN2
D83542_at,CDH15
D83597_at,CD180
D83646_at,MMP16
D83657_at,S100A12
D83699_at,HRK
D83702_at,CRY1
D83703_at,PEX6
D83735_at,CNN2
D83767_at,UBXN8
D83776_at,ZCCHC11
D83777_at,SCRN1
D83778_at,HMGXB3
D83779_at,KIAA0195
D83780_at,KIAA0196
D83781_at,NUP160
D83782_at,SCAP
D83783_at,MED12
D83784_at,PLAGL2
D83785_at,MAML1
D83920_at,FCN1
D84110_at,RBPMS
D84145_at,DCTN6
D84239_at,FCGBP
D84276_at,CD38
D84294_at,TTC3
D84307_at,PCYT2
D84361_at,SHC3
D84424_at,HAS1
D84454_at,SLC35A2
D84557_at,MCM6
D85131_s_at,MAZ
D85181_at,SC5DL
D85245_at,NR4A1
D85418_at,PIGC
D85423_at,CDC5L
D85425_s_at,NFYC
D85429_at,DNAJB1
D85433_at,COMMD1
D85527_at,LIMK2
D85758_at,ERH
D85759_s_at,DYRK1A
D85815_at,RHOD
D85939_at,CFDP1
D86043_s_at,SIRPAP1///SIRPA
D86062_s_at,C21orf33
D86096_cds1_s_at,PTGER3
D86096_cds3_at,PTGER3
D86096_cds6_at,PTGER3
D86331_s_at,MMP15
D86425_at,NID2
D86479_at,AEBP1
D86519_at,NPY6R
D86549_at,CFDP1
D86550_at,DYRK1A
D86640_at,STAC
D86956_at,HSPH1
D86957_at,SEPT8
D86958_at,RB1CC1
D86959_at,SLK
D86960_at,LPGAT1
D86961_at,LHFPL2
D86962_at,GRB10
D86963_at,DVL3
D86964_at,DOCK2
D86965_at,TBC1D5
D86966_at,ZNF592
D86967_at,EDEM1
D86968_at,MAP3K4
D86969_at,PHF16
D86970_at,MYO18A///TIAF1
D86971_at,LARP4B
D86972_at,TATDN2
D86973_at,GCN1L1
D86974_at,NPIPL3
D86975_at,ZNF516
D86976_at,HMHA1
D86977_at,DHX38
D86978_at,NUP205
D86979_at,KIAA0226
D86980_at,TTC9
D86981_at,APPBP2
D86982_at,ANKS1A
D86983_at,PXDN
D86984_at,LRRC8B
D86985_at,KIAA0232
D86988_at,UPF1
D87002_cds2_at,POM121L9P///POM121L1P
D87009_cds3_at,ZNF280B
D87011_at,ZNF280A
D87012_at,TOP3B
D87017_cds3_at,IGLC7
D87023_cds2_at,IGLJ1
D87024_at,IGLV4-3
D87071_at,MIR4722///PIEZO1
D87073_at,ZNF142
D87074_at,RIMS3
D87075_at,SLC23A2
D87076_at,PHF15
D87077_at,GLTSCR1L
D87078_at,PUM2
D87116_at,MAP2K3
D87119_at,TRIB2
D87120_at,FAM3C
D87127_at,SEC62
D87258_at,HTRA1
D87292_at,TST
D87328_at,HLCS
D87432_at,SLC7A6
D87433_at,STAB1
D87434_at,KIAA0247
D87435_at,GBF1
D87436_at,LPIN2
D87437_at,SMG7
D87438_at,PDXDC1
D87440_at,RTF1
D87442_at,NCSTN
D87443_at,SNX19
D87444_at,TM9SF4
D87445_at,SECISBP2L
D87446_at,TMEM131
D87447_at,RGP1
D87448_at,TOPBP1
D87449_at,SLC35D1
D87450_at,WAPAL
D87451_at,RNF10
D87452_at,AMIGO3///IP6K1
D87453_at,MRPS27
D87454_at,KLHDC10
D87455_at,UTP14C
D87457_at,ELMO1
D87458_at,TRIM9
D87459_at,WASF1
D87460_at,PALM
D87461_at,BCL2L2
D87462_at,BAP1
D87463_at,PHYHIP
D87464_at,FIG4
D87465_at,SPOCK2
D87466_at,DCUN1D4
D87467_at,RAPGEF5
D87468_at,ARC
D87469_at,CELSR2
D87470_at,FAM168A
D87673_at,HSF4
D87682_at,AVL9
D87683_at,TSC1
D87684_at,UBXN4
D87685_at,PHF3
D87716_s_at,WDR43
D87735_at,RPL14P1///RPL14
D87742_at,MIA3
D87743_at,SLC9A6
D87845_at,PAFAH2
D87937_at,FUT1
D87953_at,NDRG1
D87957_at,RQCD1
D87969_at,C6orf165///SLC35A1
D87989_at,SLC35B1
D88146_at,SLC35A2
D88152_at,SLC33A1
D88155_s_at,NR5A1
D88213_at,AOC2
D88270_at,VPREB1
D88378_at,PSMF1
D88422_at,CSTA
D88460_at,WASL
D88532_at,PIK3R3
D88613_at,GCM1
D88667_at,GAL3ST1
D88795_at,PCDHB11
D88799_at,PCDHGB7
D89016_at,ARHGEF16
