probeset,hgnc
69848_r_at,ZNF253
69850_at,KCTD9P2///KCTD9
69862_at,B4GALT6
69864_at,CDK6
69885_r_at,CEP104
69905_r_at,NEK7
69913_at,DHX37
69914_at,SNTB1
69919_at,TMEM119
69924_at,SYNGR2
69927_at,PPP1R3F
69929_at,ZNF10
69939_at,INADL
69965_at,EIF3B
69971_at,RNU6-64
70014_at,SOX1
70030_at,MAATS1
70032_at,MAATS1
70044_at,NFATC2IP
70048_at,MUC17
70053_r_at,STK17B
70055_at,USP47
70058_at,GOLGA2
70061_s_at,GOLGA2
70070_at,DDHD1
70072_g_at,DDHD1
70086_s_at,CLECL1
70088_r_at,CLECL1
70090_at,CLECL1
70111_at,TMEM107
70121_at,SHH
70129_r_at,PQLC2
70133_at,WHAMMP3///WHAMMP2
70137_at,SEMA3A
70145_at,ANAPC10
70152_r_at,KAT2B
70157_at,PLEKHG5
70160_at,NFKB1
70162_at,SOCS2-AS1
70164_at,LRR1
70168_at,DDX54
70180_at,PHLDB3
70182_at,ALG6
70184_at,KIRREL-IT1
70189_at,ACSM2B///ACSM2A
70197_s_at,SHPRH
70203_at,BBS2
70215_at,RPSAP52
70226_f_at,PRKAR2B
70228_r_at,PRKAR2B
70234_at,HPGD
70241_at,SEMA3E
70247_at,ARHGAP11B///ULK4P2
70255_at,ATP6V1B2
70258_at,HPGD
70265_at,SBDSP1
70269_r_at,TXK
70271_at,SMAD2
70281_at,RAP1A
70285_at,SCAND2P
70289_at,HTATSF1
70293_r_at,BNIP2
70297_at,MIR29B1
70299_at,TOM1L2
70305_at,ALMS1
70311_at,CLUHP3
70314_at,RSG1
70325_at,ZEB2
70333_at,GIPC2
70347_at,KIAA1551
70349_at,HAUS2
70353_at,CPEB4
70357_at,ZNF283
70361_at,ADAMTS16
70364_at,FAM65C
70381_r_at,LYPD5
70387_at,EGOT
70396_at,CYCS
70400_at,LINC00482
70406_s_at,ZNF720
70408_r_at,ZNF720
70423_at,RBM43
70427_at,GCC2///RGPD5///RGPD6
70434_at,TEX264
